typed ident      	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
1  	HD 10700               	* tau Cet                	PM*	026.01701409 -15.93747951  	 4.43 	 4.22 	 3.50 	 2.88 	 2.41 	G8V            	 974	   1
2  	HD 22049               	* eps Eri                	BY*	053.23268735 -09.45825866  	 5.19 	 4.61 	 3.73 	 3.00 	 2.54 	K2V            	1542	   1
3  	HD 197481              	V* AU Mic                	BY*	311.28971448 -31.34090070  	     ~	10.05 	 8.627	 9.078	 6.593	M1VeBa1        	 784	   0
4  	HD 39060               	* bet Pic                	*  	086.82119870 -51.06651143  	 4.13 	 4.03 	 3.86 	 3.74 	 3.58 	A6V            	1482	   1
5  	HD 14082B              	HD 14082B                	*  	034.3530746 +28.7417794    	     ~	 8.33 	 7.74 	     ~	     ~	G2V            	  65	   1
6  	HIP 11437              	V* AG Tri                	BY*	036.8718929 +30.9734989    	     ~	11.3  	10.12 	 9.32 	 8.78 	K7V            	  65	   1
7  	HD 29391               	* c Eri                  	PM*	069.40055143 -02.47354857  	     ~	 5.486	 5.209	     ~	     ~	F0IV           	 118	   0
8  	HD 35850               	V* AF Lep                	RS*	081.7698462 -11.9009633    	     ~	 6.832	 6.295	     ~	     ~	F8V(n)k:       	 170	   0
9  	2MASS J10423011-3340162	V* CE Ant                	TT*	160.625466 -33.671169      	     ~	12.21 	10.91 	     ~	 9.10 	M2Ve           	 121	   1
10 	HD 38678               	* zet Lep                	*  	086.73892066 -14.82194998  	     ~	 3.637	 3.525	     ~	     ~	A2IV-V(n)      	 261	   0
11 	HD 141569              	HD 141569                	pr*	237.4906183 -03.9212061    	 7.22 	 7.20 	 7.12 	 7.00 	 7.04 	A2V(e)kB9mB9_lB	 411	   0
12 	GJ 14                  	BD+40 45                 	PM*	004.2765587 +40.9482972    	     ~	10.36 	 9.00 	 8.2  	 7.5  	M0.5V          	  93	   0
13 	HD 1404                	* sig And                	** 	004.58190606 +36.78522519  	 4.64 	 4.57 	 4.52 	 4.44 	 4.44 	A2V            	 124	   0
14 	HD 2262                	* kap Phe                	*  	006.55084095 -43.67983137  	 4.22 	 4.11 	 3.94 	 3.78 	 3.70 	A5IVn          	 127	   0
15 	HD 3196                	* 13 Cet                 	RS*	008.81199867 -03.59284352  	     ~	 5.748	 5.201	     ~	     ~	F7V+G4V        	 266	   0
16 	HD 4747                	HD 4747                  	SB*	012.3615188 -23.2124692    	 8.244	 7.927	 7.155	 6.732	 6.344	G8/K0V         	  97	   0
17 	GJ 54                  	CD-68 47                 	** 	017.59542810 -67.44495913  	12.515	11.368	 9.824	 8.73 	 7.353	M2.5V          	  67	   0
18 	HD 7570                	* nu. Phe                	PM*	018.79633957 -45.53166538  	 5.65 	 5.54 	 4.96 	 4.47 	 4.11 	F9VFe+0.4      	 207	   0
19 	HD 11171               	* chi Cet                	*  	027.39626317 -10.68640761  	 5.04 	 5.00 	 4.68 	 4.38 	 4.22 	F0V            	 160	   0
20 	HD 13161               	* bet Tri                	SB*	032.38594634 +34.98729706  	 3.26 	 3.14 	 3.00 	 2.86 	 2.78 	A5III          	 193	   0
21 	HD 14055               	* gam Tri                	PM*	034.32861264 +33.84719307  	     ~	 4.03 	 4.00 	     ~	 4.05 	A1Vnn          	 168	   0
22 	HD 20320               	* zet Eri                	SB*	048.95844401 -08.81972834  	 5.11 	 5.03 	 4.80 	 4.59 	 4.47 	kA4hA9mA9V     	 123	   0
23 	HD 20794               	* e Eri                  	PM*	049.98187889 -43.06978264  	 5.20 	 4.98 	 4.27 	 3.65 	 3.25 	G6V            	 348	   1
24 	HD 22484               	* 10 Tau                 	PM*	054.21826346 +00.40166192  	 5.23 	 5.15 	 4.30 	 4.09 	 3.77 	F9IV-V         	 487	   0
25 	HD 23281               	HD 23281                 	*  	055.89097394 -10.48565525  	 5.88 	 5.80 	 5.61 	 5.40 	 5.30 	A5III-IV       	  66	   0
26 	HD 23754               	* tau06 Eri              	PM*	056.71203413 -23.24972349  	     ~	 4.65 	 4.20 	     ~	     ~	F5IV-V         	 158	   0
27 	HD 27290               	* gam Dor                	gD*	064.00660767 -51.48665014  	     ~	 4.55 	 4.20 	     ~	     ~	F1V            	 260	   0
28 	HD 32450               	HD 32450                 	PM*	075.61841792 -21.25664453  	10.97 	 9.77 	 8.317	 7.405	 6.492	K7V            	  82	   0
29 	HD 39091               	* pi. Men                	PM*	084.2912000 -80.4691233    	     ~	 6.25 	 5.67 	     ~	     ~	G0V            	 183	   1
30 	GJ 285                 	V* YZ CMi                	BY*	116.16739172 +03.55245417  	13.761	12.831	11.225	 9.958	 8.263	M4.0Ve         	 712	   0
31 	HD 71243               	* alf Cha                	*  	124.63147162 -76.91972123  	     ~	 4.448	 4.047	     ~	     ~	F5VFe-0.8      	  83	   0
32 	HD 76932               	HD 76932                 	PM*	134.6830529 -16.1327272    	 6.47 	 6.39 	 5.86 	     ~	     ~	G2VFe-1.8CH-1  	 339	   0
33 	HD 87696               	* 21 LMi                 	dS*	151.85734566 +35.24469347  	 4.74 	 4.67 	 4.49 	 4.31 	 4.24 	A7V(n)         	 197	   0
34 	HD 88955               	* q Vel                  	*  	153.68398221 -42.12194258  	 3.98 	 3.90 	 3.85 	 3.83 	 3.81 	A2Va           	 108	   0
35 	HD 110411              	* rho Vir                	dS*	190.47106907 +10.23562633  	 5.00 	 4.97 	 4.88 	 4.80 	 4.78 	A0Va_lB        	 190	   0
36 	HD 111631              	HD 111631                	PM*	192.6815283 -00.7681300    	11.187	 9.892	 8.470	 7.59 	 6.752	M0V            	 179	   0
37 	HD 115617              	* 61 Vir                 	PM*	199.60130946 -18.31119576  	 5.710	 5.440	 4.740	     ~	     ~	G6.5V          	 519	   1
38 	HD 115892              	* iot Cen                	PM*	200.14923904 -36.71229019  	 2.77 	 2.76 	 2.73 	 2.68 	 2.69 	kA15hA3mA3va   	 171	   0
39 	HD 124580              	HD 124580                	PM*	213.91118804 -45.00075673  	     ~	 6.900	 6.305	     ~	     ~	G0V            	  56	   0
40 	HD 125162              	* lam Boo                	dS*	214.09591165 +46.08830570  	 4.31 	 4.26 	 4.18 	 4.16 	 4.13 	A0Va_lB        	 303	   0
41 	HD 129502              	* mu. Vir                	PM*	220.76509509 -05.65820353  	 4.25 	 4.26 	 3.88 	 3.48 	 3.26 	F2V            	 193	   0
42 	HD 133640              	* i Boo                  	WU*	225.94706520 +47.65406188  	     ~	 5.41 	 4.76 	     ~	     ~	G0Vn           	 508	   0
43 	HD 139006              	* alf CrB                	Al*	233.67195002 +26.71469278  	 2.19 	 2.22 	 2.24 	 2.21 	 2.25 	A1IV           	 437	   0
44 	HD 156164              	* del Her                	** 	258.75796074 +24.83920697  	 3.29 	 3.21 	 3.13 	 3.08 	 3.05 	A1IVn+G4IV-V   	 170	   0
45 	HD 160032              	* lam Ara                	V* 	265.09927004 -49.41558375  	     ~	 5.17 	 4.77 	     ~	     ~	F4V            	  90	   0
46 	HD 172555              	HD 172555                	PM*	281.36208536 -64.87126105  	     ~	 4.967	 4.767	     ~	     ~	A7V            	 195	   0
47 	HD 180161              	HD 180161                	BY*	288.0473187 +57.6719797    	     ~	 7.83 	 7.04 	 6.5  	 6.1  	G8V            	  68	   0
48 	HD 179930              	CD-46 12902              	** 	289.178812 -45.889353      	12.044	10.817	 9.356	 8.432	 7.478	M0Vk:          	  39	   0
49 	HD 184006              	* iot Cyg                	*  	292.42649467 +51.72977939  	     ~	 3.899	 3.755	     ~	     ~	A5V            	 109	   0
50 	HD 188228              	* eps Pav                	V* 	300.14814824 -72.91050549  	     ~	 3.927	 3.940	     ~	     ~	A0Va           	  96	   0
51 	HD 204961              	HD 204961                	PM*	323.39156386 -49.00900533  	11.359	10.176	 8.672	 7.665	 6.479	M2/3V          	 161	   1
52 	HD 213398              	* bet PsA                	PM*	337.87637660 -32.34607371  	 4.32 	 4.30 	 4.29 	 4.27 	 4.25 	A1Va           	  74	   0
53 	HD 213845              	* ups Aqr                	PM*	338.67348505 -20.70821609  	     ~	 5.64 	 5.20 	     ~	     ~	F7V            	 102	   0
54 	HD 215789              	* eps Gru                	SB*	342.13874302 -51.31686115  	     ~	 3.556	 3.466	     ~	     ~	A2IVn          	 107	   0
55 	HD 218511              	LTT 9379                 	PM*	347.42063023 -67.73282449  	     ~	 9.59 	 8.39 	     ~	     ~	K6V            	  41	   0
56 	HD 219571              	* gam Tuc                	*  	349.35738424 -58.23573020  	 4.35 	 4.37 	 3.98 	 3.57 	 3.33 	F4V            	 138	   0
